Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Status
-0.3655426152589569,0.6203935049961723,-0.2543781423542566,0.06169484648153378,2.0134886272307098,-0.9785369400431766,-0.3541843043004386,0.5205292154790514,-0.030266663976690873,-0.01041369852735804,-0.33538153488976785,-0.11354197467631692,0
-0.3560445641913872,0.6203935049961723,-0.2671929308747038,-0.5191159339960123,0.747798314684395,1.117818816508468,-0.3541843043004386,-0.3333909728908819,0.1084821232289863,-0.03142611068510481,-0.33538153488976785,-0.11354197467631692,1
-0.3689931169767703,0.6203935049961723,-0.2830229637529033,-1.1738519948230153,-0.8343145759984982,1.117818816508468,0.5250776596051238,-1.0080000942559806,-0.5052047222566263,-0.041444266231842726,-0.33538153488976785,-0.11354197467631692,1
-0.3577452427712603,-1.6118801888587946,-0.26794674196414187,-0.456505149370144,-0.8343145759984982,-0.9785369400431766,-0.3541843043004386,0.6125412303668238,-0.07122962954778814,-0.01351780486884336,-0.33538153488976785,-0.11354197467631692,0
-0.36005642135416477,0.6203935049961723,-0.26945436414301804,0.8274653886581571,-0.8343145759984982,1.117818816508468,-0.3541843043004386,1.1870076957728257,0.9047597461985898,0.003146759268750268,-0.33538153488976785,-0.11354197467631692,0
-0.36307846558685747,0.6203935049961723,-0.28528439702121755,-0.7322349156220173,-0.20146941972534096,1.117818816508468,-0.3541843043004386,-0.4363426795080179,-0.23265704997346862,-0.05128661862990818,-0.33538153488976785,-0.11354197467631692,1
-0.35759711692018464,-1.6118801888587946,1.7139679799540131e-16,-2.394656233017071e-16,0.747798314684395,1.117818816508468,-0.3541843043004386,0.04840582904761039,-0.21543341093555965,-0.015490998418122277,-0.33538153488976785,-0.11354197467631692,0
-0.3574143822253998,0.6203935049961723,-0.2641776865169515,-0.31086277177445226,1.0642208928209735,-0.9785369400431766,-0.3541843043004386,-0.6997379962101585,0.12025076808480094,-0.019838846438275423,-0.33538153488976785,-0.11354197467631692,0
-0.36440259994717383,0.6203935049961723,4.713990748132075,-0.07093292981552245,-0.5178919978619196,1.117818816508468,-0.3541843043004386,0.2930429296888449,-0.17103581939795856,0.015277176527149786,-0.33538153488976785,-0.11354197467631692,0
-0.3626500081017368,0.6203935049961723,4.517999864878177,1.120293917877457,1.0642208928209735,-0.9785369400431766,0.5250776596051238,-0.3569401809074436,-0.5530874489661209,-0.07054099930093038,2.5131066060344254,-0.11354197467631692,0
-0.36303901150502893,0.6203935049961723,-0.2702081752324561,-0.34543158513374095,-0.8343145759984982,0.0696409382326457,-0.3541843043004386,0.6161305728743182,-0.12199138096449931,-0.04051801979182217,2.5131066060344254,3.7599012351104215,1
-0.3617577921109121,-1.6118801888587946,-0.2687005530535799,-0.6405855461166108,-0.5178919978619196,1.117818816508468,-1.233446268206001,-0.6123765207451399,-0.3814571690517085,-0.019009685319163538,-0.33538153488976785,-0.11354197467631692,1
-0.3618367002745692,0.6203935049961723,4.600919084716364,-0.5902858708272896,-0.5178919978619196,1.117818816508468,-0.3541843043004386,-0.7024534118462631,-0.442573307573321,-0.06104500534502559,2.5131066060344254,-0.11354197467631692,0
-0.3604689587711792,0.6203935049961723,-0.2641776865169515,-0.4551372483327499,-0.8343145759984982,-0.9785369400431766,-0.3541843043004386,-0.3387437749781454,-0.15643865904031723,-0.029531634963589685,-0.33538153488976785,-0.11354197467631692,1
-0.35598088391896215,0.6203935049961723,-0.2611624421591992,0.26623513445873837,-0.8343145759984982,-0.9785369400431766,-0.3541843043004386,-0.55805260218606,0.1673758567134492,-0.03088033374594256,-0.33538153488976785,3.7599012351104215,1
-0.3599048346187182,-1.6118801888587946,-0.3418202287290729,-0.7028250433180435,-0.8343145759984982,1.117818816508468,-0.3541843043004386,-0.8513330967223398,0.4800783472814679,0.04771941727619838,-0.33538153488976785,-0.11354197467631692,1
